user_name,text,hashtags,id,urls,expanded_url,media_id,media_url,type,date,user_mentions_screenname,user_mentions_name,user_mentions_id,followers
Blizzard_Ent,"RT @Warcraft: Good luck awaits in the Lunar New Year with a brand-new mount: Hogrus, Swine of Good Fortune¡ªnow available in the Blizzard Shÿ",,#1091038038808035328, , , , ,text,2019/1/31 18:18,Warcraft,World of Warcraft,#61033129,1204084
Blizzard_Ent,RT @BAFTAGames: We are now LIVE from @Blizzard_Ent Arena on @Twitch! ____Come and join us as we talk to the BAFTA-winning team behind @PlayOvÿ,,#1090716602847223809, , , , ,text,2019/1/30 21:01,BAFTAGames',BAFTA Games,#308946809,1204084
Blizzard_Ent,RT @BAFTAGames: We are coming to you LIVE from @Blizzard_Ent Arena tomorrow! __Join us as we chat to the team behind @PlayOverwatch &amp; @Warcrÿ,,#1090353171002646530, , , , ,text,2019/1/29 20:57,BAFTAGames',BAFTA Games,#308946809,1204084
Blizzard_Ent,@BradenWhited @LonelyHotP0cket @PlayHearthstone wow what a good cloud,,#1088860225476546560, , , , ,text,2019/1/25 18:04,'BradenWhited',Braden Whited,#156349744,1204084
Blizzard_Ent,"Head over to the Blizzard blog to meet some of the cutest members of the @PlayHearthstone development team, includiÿ https://t.co/pHhdAMqjuX",,#1088858021613223936,https://t.co/pHhdAMqjuX,https://twitter.com/i/web/status/1088858021613223936, , ,text,2019/1/25 17:55,'PlayHearthstone',Hearthstone,#1209608880,1204084
Blizzard_Ent,RT @PlayOverwatch: Ring in the Year of the Pig!Overwatch¡¯s Lunar New Year festivities start now.https://t.co/8dHWTDqH6N ,,#1088514296013762560, , , , ,text,2019/1/24 19:10,'PlayOverwatch','Overwatch',#2420931980,1204084
Blizzard_Ent,15 minutes from now! https://t.co/6Ahxrj3FxY,,#1088493358236938240,https://t.co/6Ahxrj3FxY,https://twitter.com/StarCraft/status/1088467935084138498,,,text,2019/1/24 17:46,NULL,NULL,NULL,1204084
Blizzard_Ent,@Legolas45013213 @Vrykerion stay tuned for spicy Pi Day content,,#1088150122658033664, , , , ,text,2019/1/23 19:03,Legolas45013213,'Legolas',#1070055279729901568,1204084
Blizzard_Ent,"Happy #NationalPieDay, y'all! __ https://t.co/hsPzJAJaBv",'NationalPieDay',#1088149374566318080, , ,#1088149372108341248,http://pbs.twimg.com/media/DxniFrMVAAAtcHE.jpg,photo,2019/1/23 19:00,NULL,NULL,NULL,1204084
Blizzard_Ent,"RT @matthewmercer: Some days, you wake up and make some coffee. Some days, you wake up and build some #Overwatch Lego brick sets. ",'Overwatch',#1088136765796306944,,,,,text,2019/1/23 18:09,'matthewmercer',Matthew Mercer,#24630350,1204084
